tourId,title,reason,link,image,price
630376,California Conceal Weapons Course - Initail - Tehama County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-conceal-weapons-course-initail-tehama-county,,129.00 USD
630377,California Conceal Weapons Course - Initail - Marin County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-conceal-weapons-course-initail-marin-county,,129.00 USD
630386,California CCW Course - Re-Qualify - Mendocino County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-course-re-qualify-mendocino-county,,129.00 USD
630387,California CCW Course - Re-Qualify - Glenn County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-course-re-qualify-glenn-county,,129.00 USD
630388,California CCW Course - Re-Qualify - Tehama County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-course-re-qualify-tehama-county,,129.00 USD
630389,California CCW Course - Re-Qualify - Del Norte County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-course-re-qualify-del-norte-county,,129.00 USD
630390,California CCW Course - Re-Qualify - Trinity County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-course-re-qualify-trinity-county,,129.00 USD
630399,Modify your California CCW/Add a gun - Mendocino County,notAllowedActivity,https://www.alloutdooradventures.com/tours/modify-your-california-ccw-add-a-gun-mendocino-county,,129.00 USD
630400,Modify your California CCW/Add a gun - Trinity County,notAllowedActivity,https://www.alloutdooradventures.com/tours/modify-your-california-ccw-add-a-gun-trinity-county,,129.00 USD
630401,Modify your California CCW/Add a gun - Del Norte County,notAllowedActivity,https://www.alloutdooradventures.com/tours/modify-your-california-ccw-add-a-gun-del-norte-county,,129.00 USD
630402,Modify your California CCW/Add a gun - Glenn County,notAllowedActivity,https://www.alloutdooradventures.com/tours/modify-your-california-ccw-add-a-gun-glenn-county,,129.00 USD
630403,Modify your California CCW/Add a gun - Tehama County,notAllowedActivity,https://www.alloutdooradventures.com/tours/modify-your-california-ccw-add-a-gun-tehama-county,,129.00 USD
630404,Modify your California CCW/Add a gun - Marin County,notAllowedActivity,https://www.alloutdooradventures.com/tours/modify-your-california-ccw-add-a-gun-marin-county,,129.00 USD
630405,California CCW Course - Re-Qualify - Marin County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-course-re-qualify-marin-county,,129.00 USD
630597,2-Hour ATV or UTV Rental (Unguided),notAllowedActivity,https://www.alloutdooradventures.com/tours/2-hour-atv-or-utv-rental-unguided,,129.00 USD
631457,"Elk Grove, California",notAllowedActivity,https://www.alloutdooradventures.com/tours/elk-grove-california,,129.00 USD
632948,Visit to the City of Las Vegas,notAllowedActivity,https://www.alloutdooradventures.com/tours/visit-to-the-city-of-las-vegas,,129.00 USD
632951,Visit to the City of San Francisco,notAllowedActivity,https://www.alloutdooradventures.com/tours/visit-to-the-city-of-san-francisco,,129.00 USD
632957,Visit to Yosemite National Park,notAllowedActivity,https://www.alloutdooradventures.com/tours/visit-to-yosemite-national-park,,129.00 USD
